ACOUSTICS,,
World Rank,Institution,Score
1,University of Michigan,100
2,Michigan State University,97.83
3,Harvard University,97.02
4,Columbia University,96.72
5,Maastricht University,95.73
6,Stanford University,94.26
7,Florida State University,93.48
7,University of North Carolina at Chapel Hill,93.48
9,University of Wisconsin–Madison,93.26
10,University of Toronto,93.18
,,
,,
,,
"EDUCATION, SCIENTIFIC DISCIPLINES",,
World Rank,Institution,Score
1,Maastricht University,100
2,University of Toronto,99.51
3,Harvard University,97.63
4,"University of California, San Francisco",89.77
5,University of British Columbia,87.51
6,McMaster University,86.06
7,Johns Hopkins University,85.85
8,University of Pennsylvania,84.69
9,University of Calgary,84.57
10,University of Michigan,83.07
,,
,,
,,
"EDUCATION, SPECIAL",,
World Rank,Institution,Score
1,Radboud University Nijmegen,100
2,Katholieke Universiteit Leuven,93.56
3,University of Groningen,89.66
4,Louisiana State University,86.64
4,University of Bari Aldo Moro,86.64
6,University of Texas at Austin,85.34
7,Victoria University of Wellington,83.95
8,VU University Amsterdam,82.46
9,Erasmus University Rotterdam,80.85
10,University College London,79.81
,,
,,
,,
ELECTROCHEMISTRY,,
World Rank,Institution,Score
1,Tsinghua University,100
2,Central South University,99.37
3,Harbin Institute of Technology,99.2
4,University of Science and Technology of China,97.28
5,Zhejiang University,94.95
6,University of Chinese Academy of Sciences,94.44
7,Shanghai Jiao Tong University,93.97
7,Tianjin University,93.97
9,South China University of Technology,92.62
10,Hanyang University,91.15
,,
,,
,,
EMERGENCY MEDICINE,,
World Rank,Institution,Score
1,Harvard University,100
2,University of Pennsylvania,99.02
3,University of Pittsburgh,91.54
4,University of Washington,91.31
5,Monash University,89.95
6,University of Toronto,89.69
7,University of Oslo,88.21
8,Medical University of Vienna,86.28
9,"University of California, San Francisco",85.81
10,Johns Hopkins University,84.65
,,
,,
,,
ENDOCRINOLOGY & METABOLISM,,
World Rank,Institution,Score
1,Harvard University,100
2,University of Copenhagen,88.33
3,University of Pittsburgh,85.99
4,University of Toronto,85.52
5,Karolinska Institute,85.01
6,University of Michigan,84.69
7,Johns Hopkins University,84.27
8,University of Washington,83.6
9,University of Pennsylvania,83.38
10,Columbia University,83.16
,,
,,
,,
ENERGY & FUELS,,
World Rank,Institution,Score
1,Harbin Institute of Technology,100
2,University of Chinese Academy of Sciences,99.55
3,Tsinghua University,99.45
4,Zhejiang University,99.03
5,University of Science and Technology of China,96.18
6,South China University of Technology,94.92
7,Nanyang Technological University,93.62
8,Shanghai Jiao Tong University,93.31
9,Tianjin University,91.16
10,Fudan University,90.55
,,
,,
,,
"ENGINEERING, AEROSPACE",,
World Rank,Institution,Score
1,Technion – Israel Institute of Technology,100
2,Georgia Institute of Technology,99.31
3,University of Michigan,97.99
4,Delft University of Technology,97.84
5,Virginia Polytechnic Institute and State University,94.55
6,Texas A&M University,94.01
7,University of Colorado Boulder,93.82
8,Beihang University,93.45
9,University of Texas at Austin,90.39
10,Massachusetts Institute of Technology,90.17
,,
,,
,,
"ENGINEERING, BIOMEDICAL",,
World Rank,Institution,Score
1,Harvard University,100
2,Stanford University,88.74
3,Massachusetts Institute of Technology,87.85
4,University of Toronto,87.26
5,National University of Singapore,87.14
6,University of Michigan,86.06
7,Johns Hopkins University,85.71
8,Shanghai Jiao Tong University,85.35
9,University College London,85.03
10,University of Pittsburgh,84.84
,,
,,
,,
"ENGINEERING, CHEMICAL",,
World Rank,Institution,Score
1,Tsinghua University,100
2,Tianjin University,98.53
3,Zhejiang University,97.96
4,National University of Singapore,94.33
5,East China University of Science and Technology,93.83
6,Beijing University of Chemical Technology,92.97
7,Nanyang Technological University,91.51
8,Dalian University of Technology,90.63
9,University of Chinese Academy of Sciences,90.3
10,University of Science and Technology of China,90.21
,,
,,
,,
"ENGINEERING, CIVIL",,
World Rank,Institution,Score
1,Tongji University,100
2,Tsinghua University,97.43
3,Zhejiang University,97.22
4,Hong Kong Polytechnic University,94.73
5,Harbin Institute of Technology,93.19
6,National Taiwan University,92.81
7,Southeast University (China),91.67
8,University of Lisbon,90.44
9,Shanghai Jiao Tong University,90.05
10,Dalian University of Technology,89.32
,,
,,
,,
"ENGINEERING, ELECTRICAL & ELECTRONIC",,
World Rank,Institution,Score
1,Nanyang Technological University,100
2,Tsinghua University,97.62
3,National Chiao Tung University,97.58
4,National University of Singapore,95.85
5,Massachusetts Institute of Technology,95.71
6,Georgia Institute of Technology,93.77
7,City University of Hong Kong,93.75
8,Stanford University,92.97
9,Zhejiang University,92.87
10,KAIST,92.69
,,
,,
,,
"ENGINEERING, ENVIRONMENTAL",,
World Rank,Institution,Score
1,Swiss Federal Institute of Technology in Zurich,100
2,"University of California, Berkeley",96.97
3,Tsinghua University,96.42
4,Zhejiang University,96.18
5,Nanjing University,95.27
6,University of Queensland,93.91
7,Tongji University,92.91
8,Peking University,92.51
9,Stanford University,92.15
10,Harbin Institute of Technology,92.02
,,
,,
,,
"ENGINEERING, GEOLOGICAL",,
World Rank,Institution,Score
1,University of Western Australia,100
2,Tongji University,91.78
3,"University of California, Berkeley",91.33
4,National Taiwan University,90.86
5,Imperial College London,90.39
6,Hong Kong University of Science and Technology,89.73
7,University of Cambridge,85.46
8,China University of Mining and Technology (CUMT),84.83
9,Nanyang Technological University,84.17
10,Kyoto University,83.26
,,
,,
,,
"ENGINEERING, INDUSTRIAL",,
World Rank,Institution,Score
1,Hong Kong Polytechnic University,100
2,Shanghai Jiao Tong University,98.33
3,University of Montreal,91.37
4,Tsinghua University,90.6
5,Harbin Institute of Technology,90.03
6,Huazhong University of Science and Technology,88.07
7,City University of Hong Kong,85.27
8,Northeastern University (China),84.97
9,National University of Singapore,84.81
10,National Taiwan University of Science and Technology,84.65
,,
,,
,,
"ENGINEERING, MANUFACTURING",,
World Rank,Institution,Score
1,Shanghai Jiao Tong University,100
2,Harbin Institute of Technology,97.88
3,Huazhong University of Science and Technology,95.44
4,Hong Kong Polytechnic University,91.23
5,Shandong University,89.48
6,Tsinghua University,87.84
7,Dalian University of Technology,87.68
8,Nanjing University of Aeronautics and Astronautics,87.6
9,Northwestern Polytechnical University,87.28
10,University of Tehran,86.01
,,
,,
,,
"ENGINEERING, MARINE",,
World Rank,Institution,Score
1,Shanghai Jiao Tong University,100
2,University of Lisbon,97.55
3,Dalian University of Technology,97.35
4,Norwegian University of Science and Technology,92.11
5,University of Strathclyde,90.5
6,Harbin Engineering University,86.17
7,Seoul National University,84.75
8,Pusan National University,83.61
9,University of Western Australia,82.82
10,Istanbul Technical University,79.32
,,
,,
,,
"ENGINEERING, MECHANICAL",,
World Rank,Institution,Score
1,Xi'an Jiaotong University,100
2,Shanghai Jiao Tong University,95.6
3,Tsinghua University,94.67
4,Huazhong University of Science and Technology,89.04
5,Purdue University,87.53
6,Zhejiang University,86.78
7,Beihang University,86.65
8,Harbin Institute of Technology,86.18
9,University of Science and Technology of China,86.04
10,Hong Kong Polytechnic University,84.65
,,
,,
,,
"ENGINEERING, MULTIDISCIPLINARY",,
World Rank,Institution,Score
1,Stanford University,100
1,Tsinghua University,100
3,University of Texas at Austin,99.04
4,Polytechnic University of Catalonia,96.03
5,Xi'an Jiaotong University,95.84
6,Delft University of Technology,95.04
7,Dalian University of Technology,94.94
7,Harbin Institute of Technology,94.94
9,University of Cambridge,94.1
10,Shanghai Jiao Tong University,92.77
,,
,,
,,
